="Balance of attrition on baseline covariates at endline 1 (W3) and endline 2 (W4)"
="W1_loan_nextyr                                    ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.028   ",="                   ",="                   ",="                   ",="           0.027   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.004   ",="                   ",="                   ",="                   ",="          -0.004   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.018)   ",="                   ",="                   ",="                   ",="         (0.018)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.027)   ",="                   ",="                   ",="                   ",="         (0.029)   "
="W1_vat_nextyr                                     ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.017   ",="                   ",="                   ",="          -0.025   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.035   ",="                   ",="                   ",="          -0.018   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.027)   ",="                   ",="                   ",="         (0.029)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.037)   ",="                   ",="                   ",="         (0.039)   "
="Aggregate Short-Term Aspirations at W1            ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.004   ",="                   ",="           0.011   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.002   ",="                   ",="           0.015   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.015)   ",="                   ",="         (0.023)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.019)   ",="                   ",="         (0.028)   "
="Aggregate Long-Term Aspirations at W1             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.004   ",="          -0.013   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.007   ",="          -0.017   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.011)   ",="         (0.019)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.016)   ",="         (0.023)   "
="Constant                                          ",="           0.908***",="           0.901***",="           0.891***",="           0.900***",="           0.910***",="           0.911***",="           0.907***",="           0.891***",="           0.908***",="           0.932***",="           0.911***",="           0.873***",="           0.898***",="           0.917***",="           0.905***",="           0.901***",="           0.910***",="           0.908***",="           0.908***",="           0.855***",="           0.790***",="           0.780***",="           0.765***",="           0.776***",="           0.791***",="           0.793***",="           0.785***",="           0.812***",="           0.787***",="           0.820***",="           0.805***",="           0.835***",="           0.772***",="           0.814***",="           0.790***",="           0.788***",="           0.791***",="           0.787***",="           0.787***",="           0.911***"
="                                                  ",="         (0.008)   ",="         (0.011)   ",="         (0.015)   ",="         (0.010)   ",="         (0.008)   ",="         (0.009)   ",="         (0.008)   ",="         (0.020)   ",="         (0.008)   ",="         (0.021)   ",="         (0.018)   ",="         (0.051)   ",="         (0.018)   ",="         (0.014)   ",="         (0.009)   ",="         (0.009)   ",="         (0.008)   ",="         (0.008)   ",="         (0.008)   ",="         (0.065)   ",="         (0.012)   ",="         (0.015)   ",="         (0.020)   ",="         (0.014)   ",="         (0.012)   ",="         (0.013)   ",="         (0.012)   ",="         (0.029)   ",="         (0.011)   ",="         (0.030)   ",="         (0.027)   ",="         (0.071)   ",="         (0.025)   ",="         (0.020)   ",="         (0.012)   ",="         (0.013)   ",="         (0.012)   ",="         (0.011)   ",="         (0.011)   ",="         (0.089)   "
="R-squared                                         ",="           0.028   ",="           0.028   ",="           0.029   ",="           0.029   ",="           0.028   ",="           0.028   ",="           0.027   ",="           0.028   ",="           0.027   ",="           0.028   ",="           0.027   ",="           0.028   ",="           0.027   ",="           0.028   ",="           0.028   ",="           0.029   ",="           0.028   ",="           0.027   ",="           0.027   ",="           0.038   ",="           0.039   ",="           0.038   ",="           0.039   ",="           0.039   ",="           0.040   ",="           0.038   ",="           0.038   ",="           0.038   ",="           0.038   ",="           0.039   ",="           0.038   ",="           0.038   ",="           0.038   ",="           0.040   ",="           0.038   ",="           0.038   ",="           0.038   ",="           0.038   ",="           0.038   ",="           0.051   "
="N                                                 ",="            1286   ",="            1301   ",="            1301   ",="            1301   ",="            1236   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1223   ",="            1286   ",="            1301   ",="            1301   ",="            1301   ",="            1236   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1223   "
="Mean of Dependent Variable in Control Group       ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Cov = 0                     ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="f_Miss_x                                          ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
